Name,State,Category,Policy_Incentive_Type,Created,Last_Updated
Alaska Solar Easements,AK,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,11/5/2023
Power Project Loan Fund,AK,Financial Incentive,Loan Program,1/1/2000,10/9/2024
Golden Valley Electric Association - Sustainable Natural Alternative Power (SNAP) Program,AK,Financial Incentive,Performance-Based Incentive,12/13/2005,3/21/2025
Energy Efficiency Interest Rate Reduction Program,AK,Financial Incentive,Loan Program,5/18/2006,10/4/2024
Association Loan Program,AK,Financial Incentive,Loan Program,5/18/2006,10/4/2024
Building Energy Code,AK,Regulatory Policy,Building Energy Code,8/1/2006,6/18/2023
Renewable Energy Grant Program,AK,Financial Incentive,Grant Program,9/23/2008,12/12/2024
Net Metering,AK,Regulatory Policy,Net Metering,10/22/2009,3/21/2025
Energy Efficiency Revolving Loan Fund Program,AK,Financial Incentive,Loan Program,11/11/2010,10/4/2024
Local Option - Property Tax Exemption for Renewable Energy Systems,AK,Financial Incentive,Property Tax Incentive,11/11/2010,3/21/2025
Interconnection Guidelines,AK,Regulatory Policy,Interconnection,5/13/2011,6/10/2024
Weatherization Program,AK,Financial Incentive,Grant Program,11/17/2014,7/15/2022
Alaska Power and Telephone - AMP-UP Program,AK,Financial Incentive,Rebate Program,7/1/2021,6/10/2025
Chugach Electric - Residential EV Charging Program,AK,Financial Incentive,Rebate Program,7/1/2021,6/9/2025
Chugach Electric - Commercial EV Charging Program,AK,Financial Incentive,Rebate Program,7/1/2021,6/9/2025
Alaska - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,AK,Financial Incentive,Grant Program,6/28/2024,6/28/2024
Wood-Burning Heating System Deduction,AL,Financial Incentive,Personal Tax Deduction,1/1/2000,1/2/2025
Building Energy Code,AL,Regulatory Policy,Building Energy Code,7/21/2006,3/10/2023
Central Alabama Electric Cooperative - Residential Energy Efficiency Rebate Program,AL,Financial Incentive,Rebate Program,8/17/2006,6/17/2025
Dixie Electric Cooperative - Residential Energy Efficiency Loan Program,AL,Financial Incentive,Loan Program,8/17/2006,7/10/2025
Dixie Electric Cooperative - Residential Energy Efficiency Rebate Program,AL,Financial Incentive,Rebate Program,8/17/2006,6/20/2023
South Alabama Electric Cooperative - Residential Energy Efficiency Loan Program,AL,Financial Incentive,Loan Program,8/18/2006,7/8/2025
TVA - Residential Energy Efficiency Rebate Program,AL,Financial Incentive,Rebate Program,3/5/2015,10/16/2023
Alabama Commercial PACE financing program,AL,Financial Incentive,PACE Financing,7/8/2015,1/3/2024
Voluntary Green Building Standards for Public Buildings,AL,Regulatory Policy,Energy Standards for Public Buildings,2/1/2016,6/23/2024
Local Option - Property Tax Exemption for Renewable Energy Facilities,AL,Financial Incentive,Property Tax Incentive,11/16/2016,1/2/2025
TVA - Commercial Energy Efficiency Rebate Program,AL,Financial Incentive,Rebate Program,6/2/2020,10/16/2023
Central Alabama Electric Cooperative - Residential Energy Efficiency Loan Program,AL,Financial Incentive,Loan Program,7/31/2020,7/1/2024
Electric Vehicle Charging Infrastructure Program,AL,Financial Incentive,Grant Program,5/18/2021,11/5/2024
Alabama Power - Smart Thermostat Reimbursement,AL,Financial Incentive,Rebate Program,12/20/2022,1/2/2025
Energy-Efficient Retrofits Program,AL,Financial Incentive,Grant Program,5/17/2023,11/7/2024
Alabama Power - Make Ready Program,AL,Financial Incentive,Rebate Program,10/5/2023,1/5/2025
Interconnection Standards,AL,Regulatory Policy,Interconnection,6/10/2024,6/10/2024
Alabama - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,AL,Financial Incentive,Grant Program,6/12/2024,6/12/2024
Alabama Power - Electric Forklift Rebate,AL,Financial Incentive,Rebate Program,1/5/2025,1/5/2025
Alabama Power - EV Home Charger Rebate,AL,Financial Incentive,Rebate Program,1/5/2025,1/5/2025
Net Metering,AR,Regulatory Policy,Net Metering,5/16/2001,1/5/2024
Interconnection Guidelines,AR,Regulatory Policy,Interconnection,7/16/2002,1/14/2024
Green Building Standards for State Facilities,AR,Regulatory Policy,Energy Standards for Public Buildings,6/30/2006,7/3/2024
Building Energy Code,AR,Regulatory Policy,Building Energy Code,7/28/2006,5/21/2025
North Arkansas Electric Cooperative Inc - Energy Efficiency Loan Program,AR,Financial Incentive,Loan Program,8/25/2006,7/3/2025
Liberty Utilities - Commercial & Industrial Energy Efficiency Rebates,AR,Financial Incentive,Rebate Program,8/26/2009,3/26/2024
OGE - Commercial Energy Efficiency Rebate Programs,AR,Financial Incentive,Rebate Program,8/27/2009,8/30/2024
AEP SWEPCO - Residential Energy Efficiency Rebate Programs,AR,Financial Incentive,Rebate Program,8/27/2009,6/2/2025
AEP SWEPCO - Commercial and Industrial Energy Efficiency Rebate Programs,AR,Financial Incentive,Rebate Program,9/7/2009,8/4/2023
Entergy Arkansas - Residential Energy Efficiency Programs,AR,Financial Incentive,Rebate Program,9/21/2009,8/15/2024
Entergy Arkansas - CitySmart Energy Efficiency Program,AR,Financial Incentive,Rebate Program,9/21/2009,5/6/2024
Entergy Arkansas - Commercial and Industrial Energy Efficiency Programs,AR,Financial Incentive,Rebate Program,9/22/2009,3/26/2024
Wind Energy Manufacturing Tax Incentive,AR,Financial Incentive,Industry Recruitment/Support,5/14/2010,2/13/2024
Solar Hot Water Contractor Licensing,AR,Regulatory Policy,Solar/Wind Contractor Licensing,8/11/2010,5/10/2024
Sustainable Building Design Revolving Loan Fund,AR,Financial Incentive,Loan Program,10/7/2010,7/3/2025
Energy Efficiency Targets,AR,Regulatory Policy,Energy Efficiency Resource Standard,1/6/2011,11/1/2024
Arkansas PACE Program,AR,Financial Incentive,PACE Financing,4/19/2013,1/15/2024
Entergy Arkansas - Small Business Energy Efficiency Programs,AR,Financial Incentive,Rebate Program,6/24/2014,3/26/2024
Entergy Arkansas - Agricultural Energy Solutions Program Rebates,AR,Financial Incentive,Rebate Program,8/25/2014,5/6/2024
Local Option - Energy Efficiency Project Bonds,AR,Financial Incentive,Bond Program,4/29/2015,6/7/2024
Arkansas Oklahoma Gas (AOG) Residential Rebate Program,AR,Financial Incentive,Rebate Program,6/15/2015,4/18/2024
Entergy Arkansas - eTech Program,AR,Financial Incentive,Rebate Program,7/2/2021,3/24/2025
Reduce Emissions from Diesels (Go RED!) Program,AR,Financial Incentive,Grant Program,5/25/2023,6/6/2024
Clean Fuels Program,AR,Financial Incentive,Grant Program,5/25/2023,6/6/2024
Arkansas - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,AR,Financial Incentive,Grant Program,6/12/2024,6/12/2024
Qualifying Wood Stove Deduction,AZ,Financial Incentive,Personal Tax Deduction,1/1/2000,6/2/2023
Arizona Solar Rights,AZ,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,10/24/2023
Solar & Wind Equipment Certification,AZ,Regulatory Policy,Equipment Certification,1/1/2000,9/19/2024
Residential Solar and Wind Energy Systems Tax Credit,AZ,Financial Incentive,Personal Tax Credit,1/26/2001,3/21/2025
Solar and Wind Equipment Sales Tax Exemption,AZ,Financial Incentive,Sales Tax Incentive,1/1/2000,3/21/2025
Sulphur Springs Valley EC - SunWatts Rebate Program,AZ,Financial Incentive,Rebate Program,11/11/2004,8/14/2024
Solar Contractor Licensing,AZ,Regulatory Policy,Solar/Wind Contractor Licensing,1/1/2000,12/19/2024
Renewable Energy Standard,AZ,Regulatory Policy,Renewables Portfolio Standard,1/1/2000,11/26/2024
Solar Design Standards for State Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,1/1/2000,6/23/2024
Energy Efficiency Standards for State Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,2/15/2005,6/23/2024
Maricopa Assn. of Governments - Solar Domestic Water Heating Permitting Standards,AZ,Regulatory Policy,Solar/Wind Permitting Standards,5/31/2002,8/16/2023
Interconnection Guidelines,AZ,Regulatory Policy,Interconnection,8/21/2003,6/6/2024
SRP - Net Metering,AZ,Regulatory Policy,Net Metering,5/14/2004,8/14/2024
Arizona Appliance and Equipment Energy Efficiency Standards,AZ,Regulatory Policy,Appliance/Equipment Efficiency Standards,6/1/2006,10/28/2024
Energy Equipment Property Tax Exemption,AZ,Financial Incentive,Property Tax Incentive,6/26/2006,3/21/2025
APS - Residential Energy Efficiency Rebate Program,AZ,Financial Incentive,Rebate Program,7/6/2006,8/14/2024
Building Energy Code,AZ,Regulatory Policy,Building Energy Code,7/28/2006,6/18/2023
Sulphur Springs Valley EC - Residential Energy Efficiency Rebate,AZ,Financial Incentive,Rebate Program,8/25/2006,8/8/2024
Trico Electric Cooperative - SunWatts Incentive Program,AZ,Financial Incentive,Rebate Program,3/5/2007,8/14/2024
APS - Energy Efficiency Solutions for Business,AZ,Financial Incentive,Rebate Program,3/20/2007,7/17/2025
City of Scottsdale - Green Building Policy for Public Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,8/2/2007,6/23/2024
City of Scottsdale - Green Building Incentives,AZ,Financial Incentive,Green Building Incentive,8/2/2007,7/19/2022
Solar Construction Permitting Standards,AZ,Regulatory Policy,Solar/Wind Permitting Standards,5/28/2008,8/16/2023
Property Tax Assessment for Renewable Energy Equipment,AZ,Financial Incentive,Property Tax Incentive,6/24/2008,11/12/2024
Net Billing,AZ,Regulatory Policy,Net Metering,10/21/2008,3/21/2025
TEP - Residential Energy Efficiency Rebate Program,AZ,Financial Incentive,Rebate Program,11/5/2008,8/8/2024
TEP Business Energy Solutions,AZ,Financial Incentive,Rebate Program,11/5/2008,8/30/2024
UES (Electric) - Residential Efficiency Program,AZ,Financial Incentive,Rebate Program,11/6/2008,8/8/2024
City of Chandler - Expedited Plan Review for Green Buildings,AZ,Financial Incentive,Green Building Incentive,2/4/2009,1/2/2023
City of Chandler - Green Building Requirement for City Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,2/5/2009,6/23/2024
Salt River Project - Business Energy Efficiency Programs,AZ,Financial Incentive,Rebate Program,2/9/2009,8/15/2024
City of Tucson - Solar Readiness and EV-Ready Sustainability Codes,AZ,Regulatory Policy,Building Energy Code,4/27/2009,12/12/2024
Southwest Gas Corporation - Commercial High-Efficiency Equipment Rebate Program,AZ,Financial Incentive,Rebate Program,2/10/2010,8/14/2024
SRP - Residential Energy Efficiency Rebate Program,AZ,Financial Incentive,Rebate Program,3/26/2010,8/10/2024
Southwest Gas Corporation - Combined Heat and Power Program,AZ,Financial Incentive,Rebate Program,4/6/2010,8/8/2024
Mohave Electric Cooperative - Energy Efficiency Rebate Program,AZ,Financial Incentive,Rebate Program,6/30/2010,8/10/2024
Mohave Electric Cooperative - Renewable Energy Incentive Program,AZ,Financial Incentive,Rebate Program,9/21/2010,3/21/2025
Energy Efficiency Standards,AZ,Regulatory Policy,Energy Efficiency Resource Standard,12/10/2010,10/25/2024
City of Phoenix - Design Standards for City Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,1/31/2011,6/23/2024
City of Phoenix - Renewable Energy Goal,AZ,Regulatory Policy,Green Power Purchasing,1/31/2011,12/13/2024
Maricopa County - Renewable Energy Systems Zoning Ordinance,AZ,Regulatory Policy,Solar/Wind Permitting Standards,7/14/2011,8/16/2023
Credit for Renewable Energy Investment and Production for Self-Consumption by International Operations Centers (Corporate),AZ,Financial Incentive,Corporate Tax Credit,6/18/2014,5/22/2025
